Asset,Date,Count visitation
Baldivis,24/06/2021,12572
Baldivis,25/06/2021,11933
Baldivis,26/06/2021,7307
Baldivis,27/06/2021,11077
Baldivis,28/06/2021,8122
Baldivis,29/06/2021,8696
Baldivis,30/06/2021,20
Baldivis,1/07/2021,
Baldivis,2/07/2021,8864
Baldivis,3/07/2021,13077
Baldivis,4/07/2021,7530
Baldivis,5/07/2021,12141
Baldivis,6/07/2021,12005
Baldivis,7/07/2021,12386
Baldivis,8/07/2021,13253
Baldivis,9/07/2021,11809
Baldivis,10/07/2021,12280
Baldivis,11/07/2021,7969
Baldivis,12/07/2021,11238
Baldivis,13/07/2021,12015
Baldivis,14/07/2021,12884
Baldivis,15/07/2021,13203
Baldivis,16/07/2021,13068
Baldivis,17/07/2021,12198
Baldivis,18/07/2021,8131
Baldivis,19/07/2021,12528
Baldivis,20/07/2021,12389
Baldivis,21/07/2021,13784
Baldivis,22/07/2021,14296
Baldivis,23/07/2021,13218
Baldivis,24/07/2021,11973
Baldivis,25/07/2021,8211
Baldivis,26/07/2021,10366
Baldivis,27/07/2021,9997
Baldivis,28/07/2021,11717
Baldivis,29/07/2021,12928
Baldivis,30/07/2021,12681
Baldivis,31/07/2021,12133
Baldivis,1/08/2021,7844
Baldivis,2/08/2021,11753
Baldivis,3/08/2021,11566
Baldivis,4/08/2021,12335
Baldivis,5/08/2021,12763
Baldivis,6/08/2021,12576
Baldivis,7/08/2021,11932
Baldivis,8/08/2021,8202
Baldivis,9/08/2021,11111
Baldivis,10/08/2021,10542
Baldivis,11/08/2021,11933
Baldivis,12/08/2021,12996
Baldivis,13/08/2021,12841
Baldivis,14/08/2021,12235
Baldivis,15/08/2021,7801
Baldivis,16/08/2021,12094
Baldivis,17/08/2021,11696
Baldivis,18/08/2021,12111
Baldivis,19/08/2021,12755
Baldivis,20/08/2021,13047
Baldivis,21/08/2021,12134
Baldivis,22/08/2021,8065
Baldivis,23/08/2021,12234
Baldivis,24/08/2021,11874
Baldivis,25/08/2021,11891
Baldivis,26/08/2021,12820
Baldivis,27/08/2021,12641
Baldivis,28/08/2021,11979
Baldivis,29/08/2021,8251
Baldivis,30/08/2021,11748
Baldivis,31/08/2021,11652
Baldivis,1/09/2021,11509
Baldivis,2/09/2021,12651
Baldivis,3/09/2021,12879
Baldivis,4/09/2021,13313
Baldivis,5/09/2021,7348
Baldivis,6/09/2021,11755
Baldivis,7/09/2021,11649
Baldivis,8/09/2021,12182
Baldivis,9/09/2021,12536
Baldivis,10/09/2021,12698
Baldivis,11/09/2021,12301
Baldivis,12/09/2021,7645
Baldivis,13/09/2021,11624
Baldivis,14/09/2021,11618
Baldivis,15/09/2021,11505
Baldivis,16/09/2021,12847
Baldivis,17/09/2021,13201
Baldivis,18/09/2021,12140
Baldivis,19/09/2021,8127
Baldivis,20/09/2021,11828
Baldivis,21/09/2021,11580
Baldivis,22/09/2021,12266
Baldivis,23/09/2021,13037
Baldivis,24/09/2021,13401
Baldivis,25/09/2021,12150
Baldivis,26/09/2021,7392
Baldivis,27/09/2021,9150
Baldivis,28/09/2021,12746
Baldivis,29/09/2021,12879
Baldivis,30/09/2021,14041
Baldivis,1/10/2021,13148
Baldivis,2/10/2021,11892
Baldivis,3/10/2021,7745
Baldivis,4/10/2021,11969
Baldivis,5/10/2021,12320
Baldivis,6/10/2021,12377
Baldivis,7/10/2021,13501
Baldivis,8/10/2021,13477
Baldivis,9/10/2021,12126
Baldivis,10/10/2021,8008
Baldivis,11/10/2021,11565
Baldivis,12/10/2021,11587
Baldivis,13/10/2021,12421
Baldivis,14/10/2021,13846
Baldivis,15/10/2021,13262
Baldivis,16/10/2021,12483
Baldivis,17/10/2021,8220
Baldivis,18/10/2021,12024
Baldivis,19/10/2021,10935
Baldivis,20/10/2021,12058
Baldivis,21/10/2021,13191
Baldivis,22/10/2021,13153
Baldivis,23/10/2021,12341
Baldivis,24/10/2021,8137
Baldivis,25/10/2021,11657
Baldivis,26/10/2021,11517
Baldivis,27/10/2021,12334
Baldivis,28/10/2021,13746
Baldivis,29/10/2021,13785
Baldivis,30/10/2021,13324
Baldivis,31/10/2021,8993
Baldivis,1/11/2021,12097
Baldivis,2/11/2021,11340
Baldivis,3/11/2021,12428
Baldivis,4/11/2021,13438
Baldivis,5/11/2021,13453
Baldivis,6/11/2021,12113
Baldivis,7/11/2021,8311
Baldivis,8/11/2021,12165
Baldivis,9/11/2021,30
Baldivis,10/11/2021,12350
Baldivis,11/11/2021,13840
Baldivis,12/11/2021,13489
Baldivis,13/11/2021,12860
Baldivis,14/11/2021,8403
Baldivis,15/11/2021,12633
Baldivis,16/11/2021,12297
Baldivis,17/11/2021,12515
Baldivis,18/11/2021,13377
Baldivis,19/11/2021,13579
Baldivis,20/11/2021,12726
Baldivis,21/11/2021,8385
Baldivis,22/11/2021,12803
Baldivis,23/11/2021,12361
Baldivis,24/11/2021,12944
Baldivis,25/11/2021,14512
Baldivis,26/11/2021,14201
Baldivis,27/11/2021,13547
Baldivis,28/11/2021,8326
Baldivis,29/11/2021,13321
Baldivis,30/11/2021,13102
Baldivis,1/12/2021,13474
Baldivis,2/12/2021,15458
Baldivis,3/12/2021,14622
Baldivis,4/12/2021,13334
Baldivis,5/12/2021,9234
Baldivis,6/12/2021,13975
Baldivis,7/12/2021,13464
Baldivis,8/12/2021,13733
Baldivis,9/12/2021,14632
Baldivis,10/12/2021,14473
Baldivis,11/12/2021,13744
Baldivis,12/12/2021,10083
